tiplabel	gen	fam	ord	clade	higher	genes	samp	PC	Source_upham	ID_upham	extinct?	newSinceMSW3?	IFnew_Category	IFnew_GeoRegion	IFnew_Citation
Abditomys_latidens_MURIDAE_RODENTIA	Abditomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC11_Muridae	IUCN	42641	0	0	NA	NA	NA
Abeomelomys_sevia_MURIDAE_RODENTIA	Abeomelomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	5	sampled	PC11_Muridae	IUCN	17879	0	0	NA	NA	NA
Abrawayaomys_chebezi_CRICETIDAE_RODENTIA	Abrawayaomys	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC12_Cricetidae	newSp	100000001	0	1	deNovo	Argentina	"PardiÃ±as,__U.F.J.,__Teta,__P.__&__Dâ€™ElÃ_a,__G.__2009.__Taxonomy__and__distribution__of__Abrawayaomys__(Rodentia:__Cricetidae),__an__Atlantic__Forest__endemic__with__the__description__of__a__new__species.__Zootaxa__2128:39-60."
Abrawayaomys_ruschii_CRICETIDAE_RODENTIA	Abrawayaomys	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC12_Cricetidae	IUCN	16	0	0	NA	NA	NA
Abrocoma_bennettii_ABROCOMIDAE_RODENTIA	Abrocoma	ABROCOMIDAE	RODENTIA	Guinea_pig-related	Euarchontoglires	23	sampled	PC14_GuineaPigRelated	IUCN	42656	0	0	NA	NA	NA
Abrocoma_boliviensis_ABROCOMIDAE_RODENTIA	Abrocoma	ABROCOMIDAE	RODENTIA	Guinea_pig-related	Euarchontoglires	1	sampled	PC14_GuineaPigRelated	IUCN	18	0	0	NA	NA	NA
Abrocoma_budini_ABROCOMIDAE_RODENTIA	Abrocoma	ABROCOMIDAE	RODENTIA	Guinea_pig-related	Euarchontoglires	0	imputed	PC14_GuineaPigRelated	IUCN	136334	0	0	NA	NA	NA
Abrocoma_cinerea_ABROCOMIDAE_RODENTIA	Abrocoma	ABROCOMIDAE	RODENTIA	Guinea_pig-related	Euarchontoglires	5	sampled	PC14_GuineaPigRelated	IUCN	42657	0	0	NA	NA	NA
Abrocoma_famatina_ABROCOMIDAE_RODENTIA	Abrocoma	ABROCOMIDAE	RODENTIA	Guinea_pig-related	Euarchontoglires	0	imputed	PC14_GuineaPigRelated	IUCN	136367	0	0	NA	NA	NA
Abrocoma_shistacea_ABROCOMIDAE_RODENTIA	Abrocoma	ABROCOMIDAE	RODENTIA	Guinea_pig-related	Euarchontoglires	0	imputed	PC14_GuineaPigRelated	IUCN	136525	0	0	NA	NA	NA
