Source	ID	MasterTax_Order	MasterTax_Family	MasterTax_SciName	matched_name	matching_source	NCBI_SciName	NCBI_Rank	NCBI_ID
IUCN	42641	RODENTIA	MURIDAE	Abditomys_latidens	0	0	0	0	0
IUCN	17879	RODENTIA	MURIDAE	Abeomelomys_sevia	Abeomelomys_sevia	IUCN	Abeomelomys_sevia	Species	491870
IUCN	17879	RODENTIA	MURIDAE	Abeomelomys_sevia	_Matched-manually-to-NCBI	MSW3	Abeomelomys_sevia_tatei	Subspecies	491889
IUCN	16	RODENTIA	CRICETIDAE	Abrawayaomys_ruschii	Abrawayaomys_ruschii	IUCN	Abrawayaomys_ruschii	Species	1258732
IUCN	42656	RODENTIA	ABROCOMIDAE	Abrocoma_bennettii	Abrocoma_bennettii	IUCN	Abrocoma_bennettii	Species	108855
IUCN	42656	RODENTIA	ABROCOMIDAE	Abrocoma_bennettii	Abrocoma_bennettii	MSW3	Abrocoma_bennettii_bennettii	Subspecies	126352
IUCN	18	RODENTIA	ABROCOMIDAE	Abrocoma_boliviensis	_Matched-manually-to-NCBI	REF--Upham and Patterson 2015	MANUAL ADDING	0	0
IUCN	136334	RODENTIA	ABROCOMIDAE	Abrocoma_budini	0	0	0	0	0
IUCN	42657	RODENTIA	ABROCOMIDAE	Abrocoma_cinerea	Abrocoma_cinerea	IUCN	Abrocoma_cinerea	Species	126064
IUCN	136367	RODENTIA	ABROCOMIDAE	Abrocoma_famatina	0	0	0	0	0
IUCN	136525	RODENTIA	ABROCOMIDAE	Abrocoma_shistacea	0	0	0	0	0
IUCN	136302	RODENTIA	ABROCOMIDAE	Abrocoma_uspallata	0	0	0	0	0
IUCN	136546	RODENTIA	ABROCOMIDAE	Abrocoma_vaccarum	0	0	0	0	0
IUCN	4803	RODENTIA	CRICETIDAE	Abrothrix_andinus	Abrothrix_andinus	IUCN	Abrothrix_andinus	Species	89096
IUCN	4803	RODENTIA	CRICETIDAE	Abrothrix_andinus	_Matched-manually-to-NCBI	MSW3	Abrothrix_andinus_polius	Subspecies	1392492
IUCN	4803	RODENTIA	CRICETIDAE	Abrothrix_andinus	_Matched-manually-to-NCBI	MSW3	Akodon_andinus	Species	10071
IUCN	734	RODENTIA	CRICETIDAE	Abrothrix_hershkovitzi	Abrothrix_hershkovitzi	IUCN	Abrothrix_hershkovitzi	Species	573592
IUCN	735	RODENTIA	CRICETIDAE	Abrothrix_illuteus	Abrothrix_illuteus	IUCN	Abrothrix_illuteus	Species	978106
IUCN	4804	RODENTIA	CRICETIDAE	Abrothrix_jelskii	Abrothrix_jelskii	IUCN	Abrothrix_jelskii	Species	241142
IUCN	4804	RODENTIA	CRICETIDAE	Abrothrix_jelskii	_Matched-manually-to-NCBI	MSW3	Abrothrix_jelskii_inambarii	Subspecies	1392495
IUCN	740	RODENTIA	CRICETIDAE	Abrothrix_lanosus	Abrothrix_lanosus	IUCN	Abrothrix_lanosus	Species	553233
IUCN	743	RODENTIA	CRICETIDAE	Abrothrix_longipilis	Abrothrix_longipilis	IUCN	Abrothrix_longipilis	Species	29094
IUCN	743	RODENTIA	CRICETIDAE	Abrothrix_longipilis	_Matched-manually-to-NCBI	MSW3	Abrothrix_longipilis_moerens	Subspecies	1392504
IUCN	745	RODENTIA	CRICETIDAE	Abrothrix_markhami	Abrothrix_markhami	IUCN	Abrothrix_markhami	Species	430900
IUCN	751	RODENTIA	CRICETIDAE	Abrothrix_olivaceus	Abrothrix_olivaceus	IUCN	Abrothrix_olivaceus	Species	29098
IUCN	751	RODENTIA	CRICETIDAE	Abrothrix_olivaceus	_Matched-manually-to-NCBI	MSW3	Abrothrix_olivaceus_beatus	Subspecies	70165
IUCN	751	RODENTIA	CRICETIDAE	Abrothrix_olivaceus	_Matched-manually-to-NCBI	MSW3	Abrothrix_olivaceus_brachiotis	Subspecies	70166
IUCN	751	RODENTIA	CRICETIDAE	Abrothrix_olivaceus	_Matched-manually-to-NCBI	MSW3	Abrothrix_olivaceus_canescens	Subspecies	70167
