Abeomelomys sevia
Abrawayaomys chebezi
Abrawayaomys ruschii
Abrocoma bennettii
Abrocoma boliviensis
Abrocoma cinerea
Abrothrix andinus
Abrothrix hershkovitzi
Abrothrix illuteus
Abrothrix jelskii
Abrothrix lanosus
Abrothrix longipilis
Abrothrix manni
Abrothrix olivaceus
Abrothrix sanborni
Acerodon celebensis
Acerodon jubatus
Acinonyx jubatus
Acomys cahirinus
Acomys chudeaui
Acomys cilicicus
Acomys dimidiatus
Acomys ignitus
Acomys johannis
Acomys louisae
Acomys minous
Acomys muzei
Acomys nesiotes
Acomys ngurui
Acomys percivali
Acomys russatus
Acomys spinosissimus
Acomys subspinosus
Acomys wilsoni
Aconaemys fuscus
Aconaemys sagei
Acratocnus ye
Addax nasomaculatus
Aegialomys baroni
Aegialomys galapagoensis
Aegialomys ica
Aegialomys xanthaeolus
Aeorestes cinereus
Aeorestes egregius
Aepyceros melampus
Aepyprymnus rufescens
Aethalops aequalis
Aethalops alecto
Aethomys chrysophilus
Aethomys hindei
Aethomys ineptus
Aethomys kaiseri
Aethomys nyikae
Aethomys silindensis
Ailuropoda melanoleuca
Ailurops ursinus
Ailurus fulgens
Akodon aerosus
Akodon affinis
Akodon albiventer
Akodon azarae
Akodon baliolus
Akodon boliviensis
Akodon budini
Akodon caenosus
Akodon cursor
Akodon dayi
Akodon dolores
Akodon fumeus
Akodon glaucinus
Akodon iniscatus
Akodon josemariarguedasi
Akodon juninensis
Akodon kofordi
Akodon kotosh
Akodon latebricola
Akodon lindberghi
Akodon lutescens
Akodon mimus
Akodon molinae
Akodon mollis
Akodon montensis
Akodon mystax
Akodon orophilus
Akodon paranaensis
Akodon philipmyersi
Akodon polopi
Akodon reigi
Akodon serrensis
Akodon siberiae
Akodon simulator
Akodon spegazzinii
Akodon subfuscus
Akodon sylvanus
Akodon tartareus
Akodon toba
Akodon torques
Akodon varius
Akodon viridescens
Alcelaphus buselaphus
Alcelaphus caama
Alcelaphus lichtensteini
Alces alces
Alexandromys limnophilus
Alexandromys middendorffii
Alexandromys mongolicus
Alexandromys mujanensis
Alionycteris paucidentata
Allactaga balikunica
Allactaga bullata
Allactaga euphratica
Allactaga firouzi
Allactaga hotsoni
Allactaga major
Allactaga severtzovi
Allactaga sibirica
Allactaga toussi
Allactaga williamsi
Allactodipus bobrinskii
Allenopithecus nigroviridis
Allocebus trichotis
Allochrocebus lhoesti
Allochrocebus preussi
Allochrocebus solatus
Allocricetulus curtatus
Allocricetulus eversmanni
Alouatta belzebul
Alouatta caraya
Alouatta guariba
Alouatta palliata
Alouatta pigra
Alouatta sara
Alouatta seniculus
Alouatta stramineus
Alticola albicaudus
Alticola argentatus
Alticola barakshin
Alticola lemminus
Alticola macrotis
Alticola montosa
Alticola olchonensis
Alticola semicanus
Alticola stoliczkanus
Alticola stracheyi
Alticola strelzowi
Alticola tuvinicus
Amblysomus corriae
Amblysomus hottentotus
Amblysomus marleyi
Amblysomus robustus
Amblysomus septentrionalis
Ametrida centurio
Ammospermophilus harrisii
Ammospermophilus leucurus
Ammotragus lervia
Amphinectomys savamis
Andalgalomys pearsoni
Andalgalomys roigi
Andinomys edax
Anisomys imitator
Anomalurus beecrofti
Anomalurus derbianus
Anomalurus pelii
Anomalurus pusillus
Anoura caudifer
Anoura geoffroyi
Anourosorex squamipes
Anourosorex yamashinai
Antechinomys laniger
Antechinus bellus
Antechinus flavipes
Antechinus godmani
Antechinus leo
Antechinus minimus
Antechinus naso
Antechinus stuartii
Antechinus swainsonii
Antidorcas marsupialis
Antilocapra americana
Antilope cervicapra
Antrozous dubiaquercus
Antrozous pallidus
Aonyx capensis
Aonyx cinereus
Aotus azarai
Aotus griseimembra
Aotus lemurinus
Aotus nancymaae
Aotus nigriceps
Aotus trivirgatus
Aotus vociferans
Aplodontia rufa
Apodemus agrarius
Apodemus alpicola
Apodemus argenteus
Apodemus chejuensis
Apodemus chevrieri
Apodemus draco
Apodemus epimelas
Apodemus flavicollis
Apodemus fulvipectus
Apodemus gurkha
Apodemus hermonensis
Apodemus hyrcanicus
Apodemus ilex
Apodemus latronum
Apodemus mystacinus
Apodemus nigrus
Apodemus pallipes
Apodemus peninsulae
Apodemus ponticus
Apodemus semotus
Apodemus speciosus
Apodemus sylvaticus
Apodemus uralensis
Apodemus wardi
Apodemus witherbyi
Apomys abrae
Apomys aurorae
Apomys banahao
Apomys brownorum
Apomys camiguinensis
Apomys datae
Apomys gracilirostris
Apomys hylocoetes
Apomys insignis
Apomys iridensis
Apomys lubangensis
Apomys magnus
Apomys microdon
Apomys minganensis
Apomys musculus
Apomys sacobianus
Apomys sierrae
Apomys zambalensis
Arabitragus jayakari
Arborimus albipes
Arborimus longicaudus
Archboldomys luzonensis
Archboldomys maximus
Arctictis binturong
Arctocebus calabarensis
Arctocephalus australis
Arctocephalus forsteri
Arctocephalus galapagoensis
Arctocephalus gazella
