species frame Nind size S EstPi_ferretti EstTheta_ferretti
Abrothrix_lanosus 1 7 377 2 0.00151572565365669 0.0024559967253377
Abrothrix_lanosus 2 7 377 0 0 0
Abrothrix_lanosus 3 7 377 4 0.00303145130731338 0.00490546755237608
Abrothrix_longipilis 1 117 377 55 0.0324990632379378 0.0279449289511712
Abrothrix_longipilis 2 117 377 20 0.0063683356278438 0.0101623573194605
Abrothrix_longipilis 3 117 377 222 0.166647121442581 0.112813707644494
Abrothrix_olivaceus 1 138 377 40 0.00950242012415221 0.0205055716367145
Abrothrix_olivaceus 2 138 377 20 0.00465304242619188 0.0102526918265244
Abrothrix_olivaceus 3 138 377 137 0.0463378704213347 0.0702554921164943
Abrothrix_sanborni 1 13 265 4 0.00306402193194646 0.00517878822894314
Abrothrix_sanborni 2 13 265 0 0 0
Abrothrix_sanborni 3 13 265 50 0.0426428916994955 0.0647837165707723
Acerodon_jubatus 1 20 261 3 0.0024601734220609 0.00430623978465716
Acerodon_jubatus 2 20 261 3 0.00869126840088728 0.00430623978465716
Acerodon_jubatus 3 20 260 24 0.0291902834008097 0.034626251512678
Acinonyx_jubatus 1 82 378 1 0.000363248782399641 0.00108119799499402
Acinonyx_jubatus 2 82 378 0 0 0
Acinonyx_jubatus 3 82 378 3 0.0018305826797245 0.00325343912140667
Acomys_cahirinus 1 25 380 25 0.0185780409521828 0.0174595124409955
Acomys_cahirinus 2 25 380 8 0.00379366895499619 0.00558687433920199
Acomys_cahirinus 3 25 380 116 0.100549575519827 0.0810144951821968
Acomys_dimidiatus 1 33 380 26 0.00875133436027119 0.0181273593935806
Acomys_dimidiatus 2 33 380 6 0.00178532145410548 0.00418245308767493
Acomys_dimidiatus 3 33 380 110 0.0489951430806767 0.0767383008288885
Acomys_ignitus 1 5 380 17 0.0284210526315789 0.0240992321323095
Acomys_ignitus 2 5 380 5 0.00921052631578947 0.00708800945067925
Acomys_ignitus 3 5 379 78 0.132189973614776 0.11104520109147
Acomys_johannis 1 6 362 15 0.0173112338858195 0.018222312208949
Acomys_johannis 2 6 362 4 0.00478821362799263 0.00485928325571973
Acomys_johannis 3 6 362 70 0.0786372007366483 0.0850787991735194
Acomys_minous 1 28 380 12 0.00590726740841157 0.00851311825415676
Acomys_minous 2 28 380 2 0.00161808367071525 0.00141889032378266
Acomys_minous 3 28 380 17 0.0123889619152777 0.0120691741960105
Acomys_ngurui 1 54 380 41 0.0184764341107232 0.0245389841211537
Acomys_ngurui 2 54 380 22 0.0047508796195733 0.0131682030523592
Acomys_ngurui 3 54 380 207 0.105551248005631 0.123931656374663
Acomys_percivali 1 41 380 62 0.0473924347677687 0.0404957319351258
Acomys_percivali 2 41 380 23 0.0131860116985414 0.0150229421570253
Acomys_percivali 3 41 380 206 0.199591004009013 0.134640180175757
