species	S_1	S_2	S_3	EstPi_1	EstPi_2	EstPi_3	EstTheta_1	EstTheta_2	EstTheta_3	Nind	size	EstPi	EstTheta	subPi_min	subPi_mean	subPi_max	subPi_upper.CI	subPi_lower.CI	subPi_sd	subPi_se	subTheta_min	subTheta_mean	subTheta_max	subTheta_upper.CI	subTheta_lower.CI	subTheta_sd	subTheta_se	outPi	outTheta
Abrothrix_lanosus	2	0	4	0.00151572565365669	0	0.00303145130731338	0.0024559967253377	0	0.00490546755237608	7	1131	0.00151572565365669	0.00245465702986497	0.000353669319186561	0.00162363503412509	0.00300375469336671	0.00166753502520446	0.00157973504304573	0.000707440391091241	2.23712294464861e-05	0.000465657741559957	0.0021921326663202	0.00364077669902916	0.00224612394754691	0.0021381413850935	0.00087005970086596	2.75137035506121e-05	in	in
Abrothrix_longipilis	55	20	222	0.0324990632379378	0.0063683356278438	0.166647121442581	0.0279449289511712	0.0101623573194605	0.112813707644494	117	1131	0.0685048401027874	0.0503044519230656	0.00764444444444444	0.0665683223277686	0.103359858532272	0.0679116532820986	0.0652249913734387	0.021647534596943	0.000684555150536349	0.00853333333333336	0.0643718906694917	0.0968451944240653	0.0656104390347448	0.0631333423042387	0.0199589821855755	0.000631158434851439	in	in
Abrothrix_olivaceus	40	20	137	0.00950242012415221	0.00465304242619188	0.0463378704213347	0.0205055716367145	0.0102526918265244	0.0702554921164943	138	1131	0.0201644443238929	0.0336670297295458	0.00512820512820513	0.0214500686939684	0.0397916666666667	0.0219167749666345	0.0209833624213023	0.00752088690548307	0.00023783132645862	0.00654033204762708	0.0223682846454429	0.0400850288490742	0.0228300106934913	0.0219065585973946	0.00744063148937276	0.000235293427363889	in	in
Abrothrix_sanborni	4	0	50	0.00306402193194646	0	0.0426428916994955	0.00517878822894314	0	0.0647837165707723	13	795	0.0152356378771473	0.023307396987528	0.000755667506297229	0.0156009801392242	0.0415094339622641	0.0162886769554918	0.0149132833229566	0.0110821094194069	0.000350447070445319	0.000701139351446102	0.0172517050895417	0.0397930760047752	0.0179663392142744	0.016537070964809	0.0115161992578549	0.000364174196431621	in	in
Acerodon_jubatus	3	3	24	0.0024601734220609	0.00869126840088728	0.0291902834008097	0.00430623978465716	0.00430623978465716	0.034626251512678	20	782	0.0134271099744246	0.0143785400557166	0.00390625	0.00903840862771739	0.0156010230179028	0.00916918831891366	0.00890762893652112	0.0021074909951442	6.66447169295052e-05	0.00468749999999997	0.00932990414588524	0.0157107231920199	0.00944854565968504	0.00921126263208544	0.00191188646873397	6.04591586885565e-05	in	in
Acinonyx_jubatus	1	0	3	0.000363248782399641	0	0.0018305826797245	0.00108119799499402	0	0.00325343912140667	82	1134	0.000731277154041382	0.0014432200456547	0	0.00354374875905634	0.00772532188841202	0.00364041482638078	0.0034470826917319	0.00155775613597769	4.92605742879246e-05	0	0.00366372300519033	0.00824034334763951	0.00376593126502062	0.00356151474536005	0.00164706756264182	5.2084849581302e-05	in	in
Acomys_cahirinus	25	8	116	0.0185780409521828	0.00379366895499619	0.100549575519827	0.0174595124409955	0.00558687433920199	0.0810144951821968	25	1140	0.0409737618090021	0.0346862167546504	0.000350877192982456	0.0418936842105263	0.0679824561403509	0.043013580762129	0.0407737876589236	0.0180469297366181	0.000570694027407358	0.000421052631578948	0.0415303298475919	0.0609781918272286	0.0425110748032471	0.0405495848919367	0.0158045270153949	0.00049978302710311	in	in
Acomys_dimidiatus	26	6	110	0.00875133436027119	0.00178532145410548	0.0489951430806767	0.0181273593935806	0.00418245308767493	0.0767383008288885	33	1140	0.0198439329650178	0.0330055700830248	0.00315789473684211	0.0208249179783199	0.0548228346456693	0.0214720439582127	0.0201777919984271	0.0104283177523422	0.000329772362613691	0.0035242290748899	0.0221508180131776	0.0549104252104472	0.0228222453687244	0.0214793906576308	0.010819930011799	0.000342156229608974	in	in
Acomys_ignitus	17	5	78	0.0284210526315789	0.00921052631578947	0.132189973614776	0.0240992321323095	0.00708800945067925	0.11104520109147	5	1139	0.056540825285338	0.0473204779368279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acomys_johannis	15	4	70	0.0173112338858195	0.00478821362799263	0.0786372007366483	0.018222312208949	0.00485928325571973	0.0850787991735194	6	1086	0.0335788827501535	0.0360455226600786	0.0255678330263966	0.0333955494168201	0.0377532228360958	0.0337306715710077	0.0330604272626326	0.00540043271063917	0.000170776677160968	0.0284507668370751	0.0350734844858397	0.0386795598532847	0.0353592661919711	0.0347877027797083	0.00460532034247539	0.000145633016369289	in	in
Acomys_minous	12	2	17	0.00590726740841157	0.00161808367071525	0.0123889619152777	0.00851311825415676	0.00141889032378266	0.0120691741960105	28	1140	0.00663810433146818	0.00733261206108042	0	0.00655828950679396	0.011951951951952	0.00667925540440789	0.00643732360918002	0.00194934349216583	6.1643653772706e-05	0	0.00635865002922237	0.0113654301499607	0.00646941583441801	0.00624788422402673	0.00178497085353538	5.6445734541866e-05	in	in
Acomys_ngurui	41	22	207	0.0184764341107232	0.0047508796195733	0.105551248005631	0.0245389841211537	0.0131682030523592	0.123931656374663	54	1140	0.0429261872453092	0.0538731033642081	0	0.0421950126908942	0.12876792508048	0.0437897100509547	0.0406003153308338	0.0256982586177221	0.000812650291320521	0	0.0427747392255199	0.119101774120178	0.0443337881180419	0.0412156903329979	0.0251237900313488	0.000794483999548952	in	in
