species	check
Abrothrix_lanosus	inFrame1
Abrothrix_longipilis	inFrame1
Abrothrix_olivaceus	inFrame1
Abrothrix_sanborni	inFrame1
Acerodon_jubatus	inFrame1
Acinonyx_jubatus	inFrame1
Acomys_cahirinus	inFrame1
Acomys_dimidiatus	inFrame1
Acomys_ignitus	inFrame1
Acomys_johannis	inFrame1
Acomys_minous	inFrame1
Acomys_ngurui	inFrame2
Acomys_percivali	inFrame1
Acomys_spinosissimus	inFrame1
Acomys_wilsoni	inFrame1
Aegialomys_xanthaeolus	inFrame1
Aepyceros_melampus	inFrame1
Aethalops_alecto	inFrame1
Aethomys_chrysophilus	inFrame1
Aethomys_ineptus	inFrame1
Aethomys_kaiseri	inFrame1
Aethomys_namaquensis	inFrame1
Ailuropoda_melanoleuca	inFrame1
Ailurus_fulgens	inFrame1
Akodon_aerosus	inFrame1
Akodon_albiventer	inFrame1
Akodon_azarae	inFrame1
Akodon_boliviensis	inFrame1
Akodon_cursor	inFrame1
Akodon_dolores	inFrame1
Akodon_fumeus	inFrame1
Akodon_iniscatus	inFrame1
Akodon_lutescens	inFrame1
Akodon_mollis	inFrame1
Akodon_montensis	inFrame1
Akodon_mystax	inFrame1
Akodon_orophilus	inFrame1
Akodon_paranaensis	inFrame1
Akodon_simulator	inFrame1
Akodon_spegazzinii	inFrame1
Akodon_torques	inFrame1
Alcelaphus_buselaphus	inFrame1
Alces_alces	inFrame1
Allactaga_elater	inFrame1
Allactaga_euphratica	inFrame1
Allactaga_firouzi	inFrame1
Allactaga_sibirica	inFrame1
Allactaga_toussi	inFrame1
Allactaga_williamsi	inFrame1
Alouatta_belzebul	inFrame1
Alouatta_caraya	inFrame1
Alouatta_guariba	inFrame1
Alouatta_palliata	inFrame1
Alouatta_pigra	inFrame1
Alouatta_seniculus	inFrame1
Alticola_barakshin	inFrame1
Alticola_lemminus	notInFrame123
Alticola_macrotis	inFrame1
Alticola_semicanus	inFrame1
Alticola_stoliczkanus	inFrame1
Alticola_strelzowi	inFrame1
Amblysomus_hottentotus	inFrame1
Ammospermophilus_leucurus	inFrame1
Ammotragus_lervia	inFrame1
Andinomys_edax	inFrame1
Anourosorex_squamipes	inFrame1
Anourosorex_yamashinai	inFrame1
Antidorcas_marsupialis	inFrame1
Antilope_cervicapra	notInFrame123
Antrozous_pallidus	inFrame1
Aotus_azarae	inFrame1
Aotus_nancymaae	inFrame1
Aplodontia_rufa	inFrame1
Apodemus_agrarius	inFrame1
Apodemus_alpicola	inFrame1
Apodemus_argenteus	inFrame1
Apodemus_chevrieri	inFrame1
Apodemus_draco	inFrame1
Apodemus_flavicollis	inFrame1
Apodemus_latronum	inFrame1
Apodemus_mystacinus	inFrame2
Apodemus_pallipes	inFrame1
Apodemus_peninsulae	inFrame1
Apodemus_ponticus	inFrame1
Apodemus_speciosus	inFrame1
Apodemus_sylvaticus	inFrame1
Apodemus_uralensis	inFrame1
Apodemus_witherbyi	inFrame1
Apomys_abrae	inFrame1
Apomys_banahao	inFrame1
Apomys_brownorum	inFrame1
Apomys_datae	inFrame1
Apomys_hylocetes	inFrame1
Apomys_insignis	inFrame1
Apomys_iridensis	inFrame1
Apomys_lubangensis	inFrame1
Apomys_magnus	inFrame1
Apomys_microdon	inFrame1
Apomys_musculus	inFrame1
Apomys_sierrae	inFrame1
Apomys_zambalensis	inFrame1
Archboldomys_luzonensis	inFrame1
Arctictis_binturong	inFrame1
Arctocebus_calabarensis	inFrame1
Arctocephalus_australis	inFrame1
Arctocephalus_forsteri	inFrame1
Arctocephalus_gazella	inFrame1
Arctocephalus_pusillus	inFrame1
Arctocephalus_tropicalis	inFrame1
Arctogalidia_trivirgata	inFrame1
Ardops_nichollsi	inFrame1
Ariteus_flavescens	inFrame1
Artibeus_amplus	inFrame1
Artibeus_concolor	inFrame1
Artibeus_fimbriatus	inFrame1
Artibeus_fraterculus	inFrame1
Artibeus_hirsutus	inFrame1
Artibeus_jamaicensis	inFrame1
Artibeus_lituratus	inFrame3
Artibeus_obscurus	inFrame1
Artibeus_planirostris	inFrame1
Arvicanthis_abyssinicus	inFrame1
Arvicanthis_nairobae	inFrame1
Arvicanthis_neumanni	inFrame1
Arvicanthis_niloticus	inFrame1
Arvicola_amphibius	notInFrame123
Arvicola_sapidus	inFrame1
Asellia_tridens	inFrame1
Aselliscus_stoliczkanus	inFrame1
Atelerix_albiventris	inFrame1
Atelerix_algirus	inFrame1
Ateles_belzebuth	inFrame1
Ateles_chamek	inFrame1
Ateles_fusciceps	inFrame1
Ateles_geoffroyi	inFrame1
Ateles_paniscus	inFrame1
Atherurus_africanus	inFrame1
Atherurus_macrourus	inFrame1
Avahi_laniger	inFrame1
Avahi_occidentalis	inFrame1
Axis_axis	inFrame1
Axis_porcinus	notInFrame123
Baiomys_musculus	inFrame1
Baiomys_taylori	inFrame1
