clades	Nsp_complete	Nsp_DNAonly_PC	node	FR
Marsupials	350	277	7850	0.791
Afrotheria	86	55	7778	0.64
Xenarthra	31	19	7832	0.613
Primates	450	327	5695	0.727
Lagomorpha	90	72	5623	0.8
Castorimorpha	109	100	5102	0.917
Dipodidae	51	33	5070	0.647
Nesomyidae	63	37	4607	0.587
Muridae	768	411	4643	0.535
Cricetidae	711	528	4080	0.743
SquirrelRelated	320	216	5205	0.675
GuineaPigRelated	292	204	5420	0.699
Eulipotyphla	484	301	7477	0.622
PhyllostomidRelated	226	190	6451	0.841
VespertilionidRelated	605	367	6040	0.607
EmballonuridRelated	70	46	6406	0.657
Yinpterochiroptera	381	249	6640	0.654
Cetartiodactyla	338	305	6890	0.902
Carnivora	286	261	7212	0.913
