sigma	alpha	epsilon	lambda_0	treeN
0.174217939027683	0.987607435813677	0.0690568261707724	0.0429308881415354	treeMCC
0.169259776266847	0.995135447998754	0.10120528151078	0.0340488279739301	tree100
0.160368156641932	1.00733189854974	0.11668901761577	0.0384238428387693	tree10
0.169298703715156	0.998480491658177	0.0442887380050906	0.0338450967121141	tree11
0.155752066190695	0.994591770735927	0.0741655690117115	0.0344266306157183	tree12
0.162103987274734	1.00471424401061	0.0895342981798337	0.0347469444681123	tree13
0.168194284147728	1.00078933148645	0.0842996101088536	0.0320585545658034	tree14
0.164935157784967	0.994389273512876	0.0923828160268483	0.0353803849885674	tree15
0.142901732150202	1.01907608223255	0.0855667284193237	0.0307570175132651	tree16
0.173232001928573	0.992769748353247	0.093912267515855	0.0314007359090911	tree17
0.17316237343348	0.999792980470061	0.0573229205967934	0.0317892092343695	tree18
0.143132772975117	1.00818870080068	0.0906597104935365	0.0336507409679339	tree19
0.158424686977893	1.00162204112608	0.0506302553991431	0.0346452397399466	tree1
0.178220822131812	0.99659975375119	0.0695035404219389	0.0344528465869378	tree20
0.145384300871532	1.00942552247707	0.0902893604716963	0.0380085892451941	tree21
0.156200793629262	1.00634598624148	0.080502603507396	0.0360973263054035	tree22
0.146396174061403	1.01805399524826	0.102044612146934	0.0336712745974538	tree23
0.156937308643655	1.00625275766535	0.109058053717375	0.0380135302467825	tree24
0.153766587125174	1.00572906038527	0.117664633658147	0.0321981941351265	tree25
0.160393028120726	0.998866531255153	0.0528911582498806	0.0373087663187099	tree26
0.16133817787464	1.00706748042378	0.0632289960451326	0.0283662123069198	tree27
0.170121024431346	1.0029044542098	0.0932121768965872	0.0339532097967385	tree28
0.167342314607747	0.995253964062026	0.0650894131563432	0.0334043511385531	tree29
0.156714707250837	1.00950617707341	0.055703639325013	0.0298671311360703	tree2
0.157364568591374	1.00927185236604	0.0972814529497646	0.032028230025225	tree30
0.169107361210762	1.00691638642579	0.0861961879503811	0.0356388444146681	tree31
0.158106864012608	1.01027148966715	0.0778574147000263	0.0341800751018148	tree32
0.180384899245553	0.989611292188582	0.104147938492526	0.036592264100596	tree33
0.162820547577876	0.996443056591272	0.0939151996322785	0.033431974813371	tree34
0.154096492568227	1.00602756331368	0.0919019906548314	0.0355175362605343	tree35
0.155341777154485	1.01224030020641	0.0806877778372376	0.0366647535196016	tree36
0.158720830510886	1.002744259918	0.0934539588355748	0.0327521287359936	tree37
0.162448171935526	1.00879905737752	0.0594517524131252	0.0352727532029246	tree38
0.162902092512502	1.0053042192164	0.0878273146369073	0.0317286203279846	tree39
0.159565996442314	1.00458785361459	0.0659282739263338	0.0333566247357253	tree3
