species	Family	alt_mean	alt_min	alt_max	latitude_mean	latitude_min	latitude_max	mean_temp	min_temp	max_temp	litter_or_clutch_size_n	GenerationLength_d	geoArea_km2	BodyMassKg_notInputed	DispDist_notInputed
Abrothrix_longipilis	Cricetidae	823.323917137476	6	3062	-40.3139420804874	-53.62833	-30.63	84.9792843691149	25	172	4.845	589.3882991	718779.2906	0.0376	0.481792
Abrothrix_olivaceus	Cricetidae	563.542168674699	0	3109	-40.4578488565203	-53.62833	-26.0516838619838	96.2942942942943	21	194	5.42	589.3882991	1085040.048	0.039	0.294843
Abrothrix_sanborni	Cricetidae	349.857142857143	1	812	-41.9064957142857	-42.75	-40.65	95.4285714285714	76	106	NA	589.3882991	22169.66593	0.0247	0.178535
Acerodon_jubatus	Pteropodidae	392.5	6	2804	9.24647172694851	6.015	17.5	254.65	154	274	1	3650	157261.2426	1.075	1.403315
Acinonyx_jubatus	Felidae	1272.18644067797	244	1765	-8.4237979661017	-25.16298	0.57128	207.016949152542	187	253	3.04	2190	5181609.083	46.7	92.761783
Acomys_cahirinus	Muridae	250.298076923077	0	1403	25.8795554285714	15.45583	31.35	233.571428571429	160	296	2.47	650.0125	4052616.285	0.0525	0.49891
Acomys_dimidiatus	Muridae	985.636363636364	23	2279	27.5852018181818	12.77083	31.7	181.090909090909	114	284	2.47	650.0125	1572902.455	0.0375	0.569684
Acomys_johannis	Muridae	243	243	243	10.8833	10.8833	10.8833	280	280	280	2.47	650.0125	431327.1877	0.0185	0.287021
Acomys_percivali	Muridae	1299	1299	1299	1.46	1.46	1.46	213	213	213	NA	650.0125	225951.4476	0.022	0.275764
Acomys_spinosissimus	Muridae	980.72	220	1586	-12.3923229685494	-25.1	-5.83333	211.24	164	248	2.71	650.0125	1642749.364	0.0265	0.471013
Acomys_wilsoni	Muridae	884.636363636364	503	1299	-2.43568909090909	-4.43333	4.4	227.272727272727	210	269	2.29	650.0125	1391226.379	0.0185	0.369601
Aepyceros_melampus	Bovidae	956.081871345029	11	2392	-13.1720224418605	-27.63583	1.90874	217.732558139535	139	273	1	2674.111667	3609073.817	52.5001	3.2
Aethalops_alecto	Pteropodidae	1227.63636363636	15	3886	-0.666665454545454	-8.55833	6.08333	204.909090909091	101	273	0.99	1553.790873	691472.8251	0.015	0.182616
Aethomys_chrysophilus	Muridae	1282.49180327869	499	2329	-16.6192890163934	-24.6667	-3.51667	198.852459016393	143	245	3.345	624.3996409	4200609.569	0.0749	0.655201
Aethomys_kaiseri	Muridae	1418.20588235294	716	2788	-4.38283360270649	-12.85	-0.5	204.191176470588	100	237	2.9	624.3996409	1933478.278	0.09	0.613275
Ailurus_fulgens	Ailuridae	4172.16666666667	2610	6369	28.3613	27.60113	30.33333	18.5	-71	86	2	3650	341313.6143	4.9	8.52374
Akodon_aerosus	Cricetidae	1463.07407407407	470	3521	-12.6467566666667	-17.06417	-3.45	203.555555555556	113	244	5	589.3882991	115612.1905	0.06	0.424783
Akodon_albiventer	Cricetidae	3862.50684931507	3076	4716	-19.0524642465753	-25.79037	-16.08333	78.4657534246575	12	139	NA	589.3882991	406212.2222	0.0218	0.311361
Akodon_azarae	Cricetidae	92.2363636363636	0	1138	-33.057178018018	-38.2418	-24.9	172.801801801802	122	233	4.32	589.3882991	1234251.079	0.025	0.428228
Akodon_boliviensis	Cricetidae	3746.16923076923	2208	4599	-16.6973638790183	-22.55	-14.32108	85.8615384615385	28	181	4.18	589.3882991	219932.0887	0.0275	0.311682
Akodon_cursor	Cricetidae	518.411764705882	18	1081	-21.1830563627581	-25.13333	-8	206.823529411765	166	247	3	589.3882991	833164.6181	0.0399	0.514672
Akodon_dolores	Cricetidae	376	308	444	-32.449335	-33.12171	-31.77696	170	168	172	3.89	589.3882991	55310.09689	0.0505	0.328092
Akodon_fumeus	Cricetidae	1915.27586206897	538	4033	-17.5856317241379	-22.25	-14.28333	179.310344827586	81	243	NA	589.3882991	152763.5889	0.0227	0.258018
Akodon_iniscatus	Cricetidae	600.04347826087	6	1276	-40.8475795652174	-43.68	-37.375	110.347826086957	75	154	NA	589.3882991	574330.5011	0.0287	0.392998
Akodon_lutescens	Cricetidae	2782.25714285714	368	4419	-20.5051660610131	-27.86301	-14.555522136189	126.742857142857	48	200	NA	589.3882991	179801.6505	0.0207	0.253459
Akodon_mollis	Cricetidae	2733.48979591837	16	4761	-5.46015672676171	-11.2	-0.367	127.714285714286	8	244	NA	589.3882991	268888.4311	0.0304	0.344816
Akodon_montensis	Cricetidae	251.907407407407	58	859	-25.7954470202504	-28.05564	-22.3493509635037	210.425925925926	177	228	3	589.3882991	1059807.666	0.0441	0.574221
Akodon_orophilus	Cricetidae	2549	1789	3325	-5.97012162705022	-6.68333	-5.481	143.714285714286	119	164	NA	589.3882991	34328.06362	0.039	0.255126
Akodon_simulator	Cricetidae	1005.51515151515	357	2258	-24.5076241058164	-28.86667	-21.28333	190.878787878788	150	223	3	589.3882991	158141.5935	0.0425	0.372783
Akodon_spegazzinii	Cricetidae	1557.52631578947	368	4665	-26.8856181839032	-28.42097	-25.10409	159	20	200	4.18	589.3882991	57191.33763	0.0286	0.238338
