species	geoArea_km2	BodyMassKg_notInputed	DispDist_notInputed
Abditomys_latidens	797.2682191	0.269	0.208623
Abeomelomys_sevia	9812.096854	0.052	0.229684
Abrawayaomys_chebezi	NA	NA	NA
Abrawayaomys_ruschii	8012.810226	0.063	0.245492
Abrocoma_bennettii	55200.13334	0.25	0.500241
Abrocoma_boliviensis	65.44905919	0.158	0.09064
Abrocoma_budini	408.4022488	0.3607	0.212313
Abrocoma_cinerea	448282.2566	0.25	0.786306
Abrocoma_famatina	3330.208126	0.2334	0.262653
Abrocoma_shistacea	719.4415345	0.2763	0.207086
Abrocoma_uspallata	14.39820325	0.2458	0.083426
Abrocoma_vaccarum	37.38323905	0.2543	0.104455
Abrothrix_andinus	618563.1251	0.018	0.30541
Abrothrix_hershkovitzi	NA	0.0349	0.482632
Abrothrix_illuteus	232.3263352	0.0478	0.097516
Abrothrix_jelskii	503636.5123	0.0345	0.424642
Abrothrix_lanosus	40444.0439	0.0325	0.23802
Abrothrix_longipilis	718779.2906	0.0376	0.481792
Abrothrix_manni	NA	NA	NA
Abrothrix_markhami	NA	0.038	0.519605
Abrothrix_olivaceus	1085040.048	0.039	0.294843
Abrothrix_sanborni	22169.66593	0.0247	0.178535
Acerodon_celebensis	179964.036	0.39	0.825365
Acerodon_humilis	941.5842064	0.5996	0.336657
Acerodon_jubatus	157261.2426	1.075	1.403315
Acerodon_leucotis	12913.34589	0.5132	0.543781
Acerodon_mackloti	75582.01315	0.4703	0.758909
Acinonyx_jubatus	5181609.083	46.7	92.761783
Acomys_airensis	1845296.001	0.0483	0.682015
Acomys_cahirinus	4052616.285	0.0525	0.49891
Acomys_cilicicus	17.69448495	0.0425	0.052272
Acomys_cineraceus	1062724.296	0.0203	0.367836
Acomys_dimidiatus	1572902.455	0.0375	0.569684
Acomys_ignitus	106673.7947	0.024	0.246534
Acomys_johannis	431327.1877	0.0185	0.287021
Acomys_kempi	577316.0121	0.022	0.337682
Acomys_louisae	697465.5	0.0202	0.33491
Acomys_minous	8382.285585	0.0625	0.246761
Acomys_mullah	162425.2965	0.0284	0.297391
