species	Family	mean_temp	litter_or_clutch_size_n	GenerationLength_d	geoArea_km2	BodyMassKg_notInputed	DispDist_notInputed
Abrothrix_lanosus	Cricetidae	NA	NA	589.3882991	40444.0439	0.0325	0.23802
Abrothrix_longipilis	Cricetidae	84.9792843691149	4.845	589.3882991	718779.2906	0.0376	0.481792
Abrothrix_olivaceus	Cricetidae	96.2942942942943	5.42	589.3882991	1085040.048	0.039	0.294843
Abrothrix_sanborni	Cricetidae	95.4285714285714	NA	589.3882991	22169.66593	0.0247	0.178535
Acerodon_jubatus	Pteropodidae	254.65	1	3650	157261.2426	1.075	1.403315
Acinonyx_jubatus	Felidae	207.016949152542	3.04	2190	5181609.083	46.7	92.761783
Acomys_cahirinus	Muridae	233.571428571429	2.47	650.0125	4052616.285	0.0525	0.49891
Acomys_dimidiatus	Muridae	181.090909090909	2.47	650.0125	1572902.455	0.0375	0.569684
Acomys_johannis	Muridae	280	2.47	650.0125	431327.1877	0.0185	0.287021
Acomys_minous	Muridae	NA	2.47	650.0125	8382.285585	0.0625	0.246761
Acomys_ngurui	NA	NA	NA	NA	NA	NA	NA
Acomys_percivali	Muridae	213	NA	650.0125	225951.4476	0.022	0.275764
Acomys_spinosissimus	Muridae	211.24	2.71	650.0125	1642749.364	0.0265	0.471013
Acomys_wilsoni	Muridae	227.272727272727	2.29	650.0125	1391226.379	0.0185	0.369601
Aepyceros_melampus	Bovidae	217.732558139535	1	2674.111667	3609073.817	52.5001	3.2
Aethalops_alecto	Pteropodidae	204.909090909091	0.99	1553.790873	691472.8251	0.015	0.182616
Aethomys_chrysophilus	Muridae	198.852459016393	3.345	624.3996409	4200609.569	0.0749	0.655201
Aethomys_ineptus	Muridae	NA	3.345	639.6318318	443886.732	0.0749	0.40329
Aethomys_kaiseri	Muridae	204.191176470588	2.9	624.3996409	1933478.278	0.09	0.613275
Aethomys_namaquensis	Muridae	190.251908396947	3.75	624.3996409	3368365.451	0.0506	0.503051
Ailuropoda_melanoleuca	Ursidae	NA	1.54	5246.699417	16409.95931	108.4	11.234635
Akodon_aerosus	Cricetidae	203.555555555556	5	589.3882991	115612.1905	0.06	0.424783
Akodon_albiventer	Cricetidae	78.4657534246575	NA	589.3882991	406212.2222	0.0218	0.311361
Akodon_boliviensis	Cricetidae	85.8615384615385	4.18	589.3882991	219932.0887	0.0275	0.311682
Akodon_dolores	Cricetidae	170	3.89	589.3882991	55310.09689	0.0505	0.328092
Akodon_fumeus	Cricetidae	179.310344827586	NA	589.3882991	152763.5889	0.0227	0.258018
Akodon_iniscatus	Cricetidae	110.347826086957	NA	589.3882991	574330.5011	0.0287	0.392998
Akodon_lutescens	Cricetidae	126.742857142857	NA	589.3882991	179801.6505	0.0207	0.253459
Akodon_mollis	Cricetidae	127.714285714286	NA	589.3882991	268888.4311	0.0304	0.344816
Akodon_montensis	Cricetidae	210.425925925926	3	589.3882991	1059807.666	0.0441	0.574221
Akodon_mystax	Cricetidae	NA	NA	589.3882991	475.333922	0.0185	0.065953
Akodon_orophilus	Cricetidae	143.714285714286	NA	589.3882991	34328.06362	0.039	0.255126
Akodon_paranaensis	Cricetidae	NA	NA	589.3882991	325912.9469	0.0403	0.42267
Akodon_spegazzinii	Cricetidae	159	4.18	589.3882991	57191.33763	0.0286	0.238338
Akodon_torques	Cricetidae	129.666666666667	NA	589.3882991	67470.59215	0.039	0.295204
Alcelaphus_buselaphus	Bovidae	209.724137931034	1	2863.875333	6937407.865	171.0015	34.481486
Alces_alces	Cervidae	40.100209392761	1.29	3721.7786	22969995.53	355	118
Allactaga_elater	Dipodidae	160.625	4.5	625.1262	3335783.921	0.059	0.869504
Allactaga_euphratica	Dipodidae	177	5	625.1262	738254.2352	0.07	0.692656
Allactaga_sibirica	Dipodidae	23.1395348837209	3.44	625.1262	5472554.907	0.0975	1.2915
Allactaga_toussi	NA	NA	NA	NA	NA	NA	NA
Allactaga_williamsi	Dipodidae	NA	5	625.1262	708057.9265	0.1	0.842641
Alouatta_belzebul	Atelidae	271	NA	4380	878166.4925	6.4	5.448388
Alouatta_caraya	Atelidae	219.52380952381	1	3750.594	3097568.058	5.8625	6.814605
Alouatta_guariba	Atelidae	194.166666666667	NA	3888.341186	1086675.65	5.5892	5.293719
Alouatta_palliata	Atelidae	248.159292035398	1	3574.6373	577594.7354	7.275	3
Alouatta_pigra	Atelidae	250.839285714286	1.005	3650	242618.7543	7	5.790809
Alouatta_seniculus	Atelidae	247.791666666667	1.2	3833.157	NA	6.1455	5.976681
Alticola_barakshin	Cricetidae	NA	NA	589.3882991	225868.2552	0.035	0.228986
Alticola_lemminus	Cricetidae	-101.090909090909	NA	589.3882991	2052041.663	0.0155	0.235185
Alticola_macrotis	Cricetidae	NA	NA	589.3882991	378136.8247	0.036	0.259949
Alticola_semicanus	Cricetidae	-6.66666666666667	4.87	589.3882991	670520.9115	0.0532	0.364973
Alticola_stoliczkanus	Cricetidae	27.5	7.77	589.3882991	20194.26846	0.0275	0.118999
Alticola_strelzowi	Cricetidae	-15	7.3	589.3882991	440456.2146	0.05	0.322088
Amblysomus_hottentotus	Chrysochloridae	176.176470588235	1.93	1036.557583	213903.7003	0.0526	0.2207
Ammospermophilus_leucurus	Sciuridae	144.003933136676	8	1205.3128	1006032.928	0.1205	1.662166
Ammotragus_lervia	Bovidae	NA	1.22	1825	1428925.901	48	29.916231
Andinomys_edax	Cricetidae	92.3	2.91	589.3882991	230896.2735	0.0697	0.336565
