"harmMeans_Lam" "arithMeans_Lam" "harmMeans_Mu" "arithMeans_Mu" "harmMeans_NetDiv" "arithMeans_NetDiv" "harmMeans_NetDiv_sub" "arithMeans_NetDiv_sub"
"Abditomys_latidens_MURIDAE_RODENTIA" 0.204449460310001 0.213846097329893 0.00293022806389379 0.0292023433319227 0.181160083443292 0.184643753997971 0.201519232246107 0.184643753997971
"Abeomelomys_sevia_MURIDAE_RODENTIA" 0.239105294114419 0.260173322484688 0.00324621844656068 0.053134726425562 0.204562654261144 0.207038596059126 0.235859075667858 0.207038596059126
"Abrawayaomys_chebezi_CRICETIDAE_RODENTIA" 0.195728690488272 0.202294703181289 0.000796778242699293 0.0104946635319833 0.190681821019434 0.191800039649306 0.194931912245572 0.191800039649306
"Abrawayaomys_ruschii_CRICETIDAE_RODENTIA" 0.192578139504113 0.202305244402632 0.000795255062443959 0.0104907212536723 0.337741732286451 0.19181452314896 0.191782884441669 0.19181452314896
"Abrocoma_bennettii_ABROCOMIDAE_RODENTIA" 0.233317554272152 0.238754453174748 0.0321558501824419 0.11328485892759 0.118684591754539 0.125469594247158 0.20116170408971 0.125469594247158
"Abrocoma_boliviensis_ABROCOMIDAE_RODENTIA" 0.231706510487088 0.238563857447539 0.0324224664169539 0.11352636207935 0.119013989726743 0.125037495368189 0.199284044070135 0.125037495368189
"Abrocoma_budini_ABROCOMIDAE_RODENTIA" 0.233633152168477 0.238776570083352 0.0321701491726856 0.11339983442259 0.118479638566411 0.125376735660762 0.201463002995792 0.125376735660762
"Abrocoma_cinerea_ABROCOMIDAE_RODENTIA" 0.233556106544077 0.238746494438839 0.0314776361204307 0.11336959362149 0.118910570542438 0.125376900817349 0.202078470423646 0.125376900817349
"Abrocoma_famatina_ABROCOMIDAE_RODENTIA" 0.225990927839317 0.238857543797106 0.0321583162948339 0.11346194024559 0.119006521333658 0.125395603551516 0.193832611544483 0.125395603551516
"Abrocoma_shistacea_ABROCOMIDAE_RODENTIA" 0.233783877956671 0.238751307721162 0.0314860645312795 0.11342400550349 0.11866044232213 0.125327302217672 0.202297813425392 0.125327302217672
"Abrocoma_uspallata_ABROCOMIDAE_RODENTIA" 0.233710912506445 0.238735330280079 0.0314487461751687 0.11318814407619 0.118404620150509 0.125547186203889 0.202262166331276 0.125547186203889
"Abrocoma_vaccarum_ABROCOMIDAE_RODENTIA" 0.232682985031025 0.238733325422407 0.0321605928676231 0.11329310082859 0.118606580266521 0.125440224593817 0.200522392163402 0.125440224593817
"Abrothrix_andinus_CRICETIDAE_RODENTIA" 0.198953155770791 0.199838762008815 0.000770460058610106 0.0074295412141223 0.190927098440091 0.192409220794693 0.198182695712181 0.192409220794693
"Abrothrix_hershkovitzi_CRICETIDAE_RODENTIA" 0.198596738074043 0.199822669820087 0.000770435155484974 0.0073854587401223 0.191489829083281 0.192437211079965 0.197826302918558 0.192437211079965
"Abrothrix_illuteus_CRICETIDAE_RODENTIA" 0.198852097931138 0.19978584143699 0.00077084708341747 0.0075419815069623 0.204328256780866 0.192243859930028 0.198081250847721 0.192243859930028
